Name,Artist,Album,Popularity,Lyrics,Title,Additional_Info,Preprocessed_Lyrics,Genre
Hey Lover,LL COOL J,Mr. Smith (Deluxe Edition),61," i've been watchin' you from afar for as long as i can remember you're all a real man can need and ever ask for this is love, girl this is more than a crush yeah   it was harlem at the ruckers, i saw ya with your man smilin', huh, a coach bag in your hand i was layin' in the coupe with my hat turned back we caught eyes for a moment, and that was that so i skated off, as you strolled off lookin' at them legs, god damn they looked so soft (so fine) i gotta take ya from your man that's my mission if his love is real he got ta handle competition you only knew him five months (that's right) besides, he drink too much and smoke too many blunts and i be workin' out everyday thinkin' bout you looking at my own eyes in the rear view catchin flash backs of our eye contact wish i could lay ya on your stomach and caress your back i would hold ya in my arms and ease your fears i can't believe it, i hadn't had a crush in years hey lover you might also like hey lover, hey lover, this is more than a crush hey lover, hey lover, this is more than a crush lover, hey lover, this is more than a crush hey lover, hey lover, this is more than a crush   i see you at the bus stop waitin' everyday your man must think its safe for you to travel that way but i don't want to violate your relationship so i lay back in the cut with a crush that's a trip still, he can't stop me from having daydreams tonguin' you down with, uh, vanilla ice cream kissing on your thighs under moonlight searchin' your body with my tongue, girl, all night i wonder one day could it be, simple dreams could turn into reality our love would come down so naturally we would walk down the aisle of destiny what your man got his hustle on gotcha type scared break ya off a little chump change to do your hair that seems to be enough to satisfy your needs but there's a deeper level if you just follow my lead hey lover   hey lover, hey lover, this is more than a crush hey lover, hey lover, this is more than a crush lover, hey lover, this is more than a crush hey lover, hey lover, this is more than a crush  last week i saw ya at the mall standin' at the pay phone 'bout to make a call i had a vision it was me on the other end tellin' you come by and then you walked in i touched you gently with my hands we talked about travelin' the distant lands escapin' all the madness out here in the world becomin' my wife, no longer my girl then, you let your dress fall down to the floor i kissed you softly and you yearned for more we experienced pleasure unparalleled into an ocean of love, we both fell swimmin' in the timeless, currents of pure bliss fantasies interchangin' with each kiss undyin' passion unites our souls together we swim until the point of no control, but it's a fantasy it (that, you) won't come true we never even spoke and your man swear he love you so i'm a keep all these feelin's inside keep my dreams alive until the right time   hey lover, hey lover, this is more than a crush hey lover, hey lover, this is more than a crush lover, hey lover, this is more than a crush hey lover, hey lover, this is more than... hey lover, hey lover, this is more than a crush hey lover, hey lover, this is more than a crush lover, hey lover, baby this is more than a crush hey lover, hey lover, this is more than a crushembed",Hey Lover,,"'ve watchin ' afar long remember 're real man need ever ask love , girl crush yeah harlem ruckers , saw ya man smilin ' , huh , coach bag hand layin ' coupe hat turned back caught eye moment , skated , strolled lookin ' leg , god damn looked soft ( fine ) got ta take ya man 's mission love real got ta handle competition knew five month ( 's right ) besides , drink much smoke many blunts workin ' everyday thinkin ' bout looking eye rear view catchin flash back eye contact wish could lay ya stomach caress back would hold ya arm ease fear ca n't believe , n't crush year hey lover might also like hey lover , hey lover , crush hey lover , hey lover , crush lover , hey lover , crush hey lover , hey lover , crush see bus stop waitin ' everyday man must think safe travel way n't want violate relationship lay back cut crush 's trip still , ca n't stop daydream tonguin ' , uh , vanilla ice cream kissing thigh moonlight searchin ' body tongue , girl , night wonder one day could , simple dream could turn reality love would come naturally would walk aisle destiny man got hustle gotcha type scared break ya little chump change hair seems enough satisfy need 's deeper level follow lead hey lover hey lover , hey lover , crush hey lover , hey lover , crush lover , hey lover , crush hey lover , hey lover , crush last week saw ya mall standin ' pay phone 'bout make call vision end tellin ' come walked touched gently hand talked travelin ' distant land escapin ' madness world becomin ' wife , longer girl , let dress fall floor kissed softly yearned experienced pleasure unparalleled ocean love , fell swimmin ' timeless , current pure bliss fantasy interchangin ' kiss undyin ' passion unites soul together swim point control , 's fantasy ( , ) wo n't come true never even spoke man swear love 'm keep feelin 's inside keep dream alive right time hey lover , hey lover , crush hey lover , hey lover , crush lover , hey lover , crush hey lover , hey lover , ... hey lover , hey lover , crush hey lover , hey lover , crush lover , hey lover , baby crush hey lover , hey lover , crushembed",Pop
Look On Down From The Bridge,Mazzy Star,Among My Swan,61,"look on down from the bridge there's still fountains down there look on down from the bridge it's still raining, up here everybody seems so far away from me everybody just wants to be free look away from the sky it's no different when you're leaving home i can't be the same thing to you now i'm just gone, just gone how could i say goodbye? how could i say goodbye? goodbye maybe i'll just place my hands over you and close my eyes real tight there's a light in your eyes and you know, yeah, you know look on down from the bridge i'm still waiting for youyou might also likeembed",Look On Down From The Bridge,,"look bridge 's still fountain look bridge 's still raining , everybody seems far away everybody want free look away sky 's different 're leaving home ca n't thing 'm gone , gone could say goodbye ? could say goodbye ? goodbye maybe 'll place hand close eye real tight 's light eye know , yeah , know look bridge 'm still waiting youyou might also likeembed",Rock
Barely Breathing,Duncan Sheik,Duncan Sheik,61," i know what you're doing, i see it all too clear i only taste the saline when i kiss away your tears you really had me going, wishing on a star but the black holes that surround you are heavier by far i believed in your confusion, you were so completely torn it must've been that yesterday was the day that i was born there's not much to examine, there's nothing left to hide you really can't be serious, you have to ask me why i say goodbye   'cause i am barely breathing and i can't find the air don't know who i'm kidding, imagining you care and i could stand here waiting, a fool for another day i don't suppose it's worth the price, you're worth the price, the price that i would pay   and everyone keeps asking, what's it all about? i used to be so certain and i can't figure out what is this attraction, i can only feel the pain there's nothing left to reason and only you to blame will it ever change?   'cause i am barely breathing and i can't find the air don't know who i'm kidding, imagining you care and i could stand here waiting, a fool for another day i don't suppose it's worth the price, you're worth the price, the price that i would pay but i'm thinking it over anyway i'm thinking it over anyway you might also like i've come to find i may never know your changing mind, is it friend or foe i rise above or sink below with every time you come and go please don't come and go   'cause i am barely breathing and i can't find the air don't know who i'm kidding, imagining you care and i could stand here waiting, a fool for another day i don't suppose it's worth the price, you're worth the price, the price that i would pay but i'm thinking it over anyway i'm thinking it over anyway   i know what you're doing, i see it all too clearembed",Barely Breathing,,"know 're , see clear taste saline kiss away tear really going , wishing star black hole surround heavier far believed confusion , completely torn must 've yesterday day born 's much examine , 's nothing left hide really ca n't serious , ask say goodbye 'cause barely breathing ca n't find air n't know 'm kidding , imagining care could stand waiting , fool another day n't suppose 's worth price , 're worth price , price would pay everyone keep asking , 's ? used certain ca n't figure attraction , feel pain 's nothing left reason blame ever change ? 'cause barely breathing ca n't find air n't know 'm kidding , imagining care could stand waiting , fool another day n't suppose 's worth price , 're worth price , price would pay 'm thinking anyway 'm thinking anyway might also like 've come find may never know changing mind , friend foe rise sink every time come go please n't come go 'cause barely breathing ca n't find air n't know 'm kidding , imagining care could stand waiting , fool another day n't suppose 's worth price , 're worth price , price would pay 'm thinking anyway 'm thinking anyway know 're , see clearembed",Rock
Rotterdam (Or Anywhere),The Beautiful South,Blue Is The Colour,61," and the women tug their hair like they're trying to prove it won't fall out and all the men are gargoyles dipped long in irish stout   the whole place is pickled the people are pickles for sure and no one knows if they've done more here than they ever would do in a jar   this could be rotterdam or anywhere liverpool or rome 'cause rotterdam is anywhere anywhere alone anywhere alone   and everyone is blonde and everyone is beautiful and when blondes and beautiful are multiple they become so dull and dutiful   and when faced with dull and dutiful they fire red warning flares battle khaki personality with red underwear you might also like this could be rotterdam or anywhere liverpool or rome 'cause rotterdam is anywhere anywhere alone anywhere alone   the whole place is pickled the people are pickles for sure and no one knows if they've done more here than they ever would do in a jar   this could be rotterdam or anywhere liverpool or rome 'cause rotterdam is anywhere anywhere alone anywhere alone   this could be rotterdam or anywhere liverpool or rome 'cause rotterdam is anywhere anywhere alone anywhere alone  anywhere alone anywhere alone anywhere alone, alone, alone  this could be rotterdam or anywhere liverpool or rome 'cause rotterdam is anywhere alone alone, aloneembed",Rotterdam (Or Anywhere),,"woman tug hair like 're trying prove wo n't fall men gargoyle dipped long irish stout whole place pickled people pickle sure one know 've done ever would jar could rotterdam anywhere liverpool rome 'cause rotterdam anywhere anywhere alone anywhere alone everyone blonde everyone beautiful blonde beautiful multiple become dull dutiful faced dull dutiful fire red warning flare battle khaki personality red underwear might also like could rotterdam anywhere liverpool rome 'cause rotterdam anywhere anywhere alone anywhere alone whole place pickled people pickle sure one know 've done ever would jar could rotterdam anywhere liverpool rome 'cause rotterdam anywhere anywhere alone anywhere alone could rotterdam anywhere liverpool rome 'cause rotterdam anywhere anywhere alone anywhere alone anywhere alone anywhere alone anywhere alone , alone , alone could rotterdam anywhere liverpool rome 'cause rotterdam anywhere alone alone , aloneembed",Pop
Fire Water Burn,Bloodhound Gang,One Fierce Beer Coaster,61," the roof, the roof, the roof is on fire the roof, the roof, the roof is on fire the roof, the roof, the roof is on fire we don't need no water, let the motherfucker burn burn, motherfucker, burn   hello, my name is jimmy pop and i'm a dumb white guy i'm not old or new, but middle school, fifth grade, like junior high i don't know mofo', if y'all peeps be bugging, givin' props to my ho, 'cause she fly but i can take the heat, 'cause i'm the other white meat known as 'kid funky fried' yeah, i'm hung like planet pluto, hard to see with the naked eye but if i crashed into uranus, i would stick it where the sun don't shine 'cause i'm kind of like han solo, always stroking my own wookiee i'm the root of all that's evil, yeah, but you can call me cookie  the roof, the roof, the roof is on fire the roof, the roof, the roof is on fire the roof, the roof, the roof is on fire we don't need no water, let the motherfucker burn burn, motherfucker, burn   yo, yo, this hardcore ghetto gangster image takes a lot of practice i'm not black, like barry white, no, i am white, like frank black is so, if man is five and the devil is six, then that must make me seven this honkey's gone to heaven but if i go to hell, well then, i hope i burn well i'll spend my days with jfk, marvin gaye, martha raye, and lawrence welk and kurt cobain, kojak, mark twain and jimi hendrix's poltergeist and webster, yeah, emmanuel lewis, 'cause he's the antichrist you might also like the roof, the roof, the roof is on fire the roof, the roof, the roof is on fire the roof, the roof, the roof is on fire we don't need no water, let the motherfucker burn burn, motherfucker, burn   everybody, here we go (ooh, ooh) c'mon, party people (ooh, ooh) throw your hands in the air (ooh, ooh) c'mon, party people (ooh, ooh) wave 'em like you don't care (ooh, ooh) c'mon party people (ooh, ooh) everybody say, ""ho"" (ooh, ooh) c'mon, party people (ooh, ooh) everybody, here we go (ooh, ooh) c'mon, party people (ooh, ooh) throw your hands in the air (ooh, ooh) c'mon, party people (ooh, ooh) wave 'em like you don't care (ooh, ooh) c'mon party people (ooh, ooh) everybody say, ""ho"" (ooh, ooh) c'mon, party people (ooh, ooh) everybody, here we go (ooh, ooh) c'mon, party people (ooh, ooh) throw your hands in the air (ooh, ooh) c'mon, party people (ooh, ooh) wave 'em like you don't care (ooh, ooh) c'mon party people (ooh, ooh) everybody say, ""ho"" (ooh, ooh) c'mon, party people (ooh, ooh) everybody, here we go (ooh, ooh) c'mon, party people (ooh, ooh) throw your hands in the air (ooh, ooh) c'mon, party people (ooh, ooh) wave 'em like you don't care (ooh, ooh) c'mon party people (ooh, ooh) everybody say, ""ho"" (ooh, ooh)embed",Fire Water Burn,,"roof , roof , roof fire roof , roof , roof fire roof , roof , roof fire n't need water , let motherfucker burn burn , motherfucker , burn hello , name jimmy pop 'm dumb white guy 'm old new , middle school , fifth grade , like junior high n't know mofo ' , y'all peep bugging , givin ' prop ho , 'cause fly take heat , 'cause 'm white meat known 'kid funky fried ' yeah , 'm hung like planet pluto , hard see naked eye crashed uranus , would stick sun n't shine 'cause 'm kind like han solo , always stroking wookiee 'm root 's evil , yeah , call cookie roof , roof , roof fire roof , roof , roof fire roof , roof , roof fire n't need water , let motherfucker burn burn , motherfucker , burn yo , yo , hardcore ghetto gangster image take lot practice 'm black , like barry white , , white , like frank black , man five devil six , must make seven honkey 's gone heaven go hell , well , hope burn well 'll spend day jfk , marvin gaye , martha raye , lawrence welk kurt cobain , kojak , mark twain jimi hendrix 's poltergeist webster , yeah , emmanuel lewis , 'cause 's antichrist might also like roof , roof , roof fire roof , roof , roof fire roof , roof , roof fire n't need water , let motherfucker burn burn , motherfucker , burn everybody , go ( ooh , ooh ) c'mon , party people ( ooh , ooh ) throw hand air ( ooh , ooh ) c'mon , party people ( ooh , ooh ) wave 'em like n't care ( ooh , ooh ) c'mon party people ( ooh , ooh ) everybody say , `` ho '' ( ooh , ooh ) c'mon , party people ( ooh , ooh ) everybody , go ( ooh , ooh ) c'mon , party people ( ooh , ooh ) throw hand air ( ooh , ooh ) c'mon , party people ( ooh , ooh ) wave 'em like n't care ( ooh , ooh ) c'mon party people ( ooh , ooh ) everybody say , `` ho '' ( ooh , ooh ) c'mon , party people ( ooh , ooh ) everybody , go ( ooh , ooh ) c'mon , party people ( ooh , ooh ) throw hand air ( ooh , ooh ) c'mon , party people ( ooh , ooh ) wave 'em like n't care ( ooh , ooh ) c'mon party people ( ooh , ooh ) everybody say , `` ho '' ( ooh , ooh ) c'mon , party people ( ooh , ooh ) everybody , go ( ooh , ooh ) c'mon , party people ( ooh , ooh ) throw hand air ( ooh , ooh ) c'mon , party people ( ooh , ooh ) wave 'em like n't care ( ooh , ooh ) c'mon party people ( ooh , ooh ) everybody say , `` ho '' ( ooh , ooh ) embed",Rock
We Gonna Take U Back (Lude) / Don't Leave Me,Blackstreet,Another Level,60," what we're gonna do right here is go back way back back into time no, baby, no, baby, no, baby no, no, no if you take your love away from me (no, baby, no, baby, no, baby) i'll go crazy (no, no, no) i'll go insane no, baby, no, baby, no, baby no, no, no no, baby, no, baby, no, baby no, no, no   you've got your problems, baby, and i've got mine let's just end it all by puttin' it together, yeah when you say you love me it don't mean a thing if you cared you'd be there like you used to be, yeah i'm searching for the words to make you realize that i really, really want you to stay tears of frustration i hold inside but if you walk away you'll make this grown man cry   don't leave (no, baby, no, baby, no, baby) don't leave me, girl (no, no, please) please stay with me tonight (no, baby, no, baby, no, baby) don't leave me, girl (yeah, oh yeah) please stay with me to you might also like forget my pride, girl, i'm begging you you're my heart, you're my soul you've got so much control my love runs deeper than the ocean and sea but if you sail away, you'll take the center piece of me   don't leave (don't leave, no, no, no) don't leave me, girl please stay with me tonight (no, baby, no, baby, no, baby) don't leave me, girl please stay with me to   no, no, no, don't leave (no, baby, no, baby, no, baby) don't leave me, girl (no, no, no) please stay with me tonight (no, baby, no, baby, no, baby) don't leave me, girl (you can't leave me) please stay with me to   stay (come on and stay with me) stay (don't leave) stay (oh, yeah, yeah) stay right here with me forever (i love you) stay (yes i do) stay (i need you) stay (don't leave without you) stay right here with me forever if you take your love away from me i'll go crazy, crazy, crazy, insane if you take your love away from me i'll go crazy, i'll go insane if you take your love away from me (if you take your love away) i'll go crazy (crazy, crazy), i'll go insane (please stay with me) stay (forever) stay (forever) stay stay right here with me forever (baby, don't take your love away, no, no, no, no) stay (stay with me) stay ('cause you know i love you) stay (you know that i need you) stay right here with me forever (yes i do, oh, yeah, yeah, yeah) no, no, no no, baby, no, baby, no, babyembed",We Gonna Take U Back (Lude) / Don't Leave Me,,"'re gon na right go back way back back time , baby , , baby , , baby , , take love away ( , baby , , baby , , baby ) 'll go crazy ( , , ) 'll go insane , baby , , baby , , baby , , , baby , , baby , , baby , , 've got problem , baby , 've got mine let 's end puttin ' together , yeah say love n't mean thing cared 'd like used , yeah 'm searching word make realize really , really want stay tear frustration hold inside walk away 'll make grown man cry n't leave ( , baby , , baby , , baby ) n't leave , girl ( , , please ) please stay tonight ( , baby , , baby , , baby ) n't leave , girl ( yeah , oh yeah ) please stay might also like forget pride , girl , 'm begging 're heart , 're soul 've got much control love run deeper ocean sea sail away , 'll take center piece n't leave ( n't leave , , , ) n't leave , girl please stay tonight ( , baby , , baby , , baby ) n't leave , girl please stay , , , n't leave ( , baby , , baby , , baby ) n't leave , girl ( , , ) please stay tonight ( , baby , , baby , , baby ) n't leave , girl ( ca n't leave ) please stay stay ( come stay ) stay ( n't leave ) stay ( oh , yeah , yeah ) stay right forever ( love ) stay ( yes ) stay ( need ) stay ( n't leave without ) stay right forever take love away 'll go crazy , crazy , crazy , insane take love away 'll go crazy , 'll go insane take love away ( take love away ) 'll go crazy ( crazy , crazy ) , 'll go insane ( please stay ) stay ( forever ) stay ( forever ) stay stay right forever ( baby , n't take love away , , , , ) stay ( stay ) stay ( 'cause know love ) stay ( know need ) stay right forever ( yes , oh , yeah , yeah , yeah ) , , , baby , , baby , , babyembed",Pop
Born Slippy (Nuxx) - Radio Edit,Underworld,Born Slippy (Nuxx) [Radio Edit],60," drive boy, dog boy, dirty, numb angel boy in the doorway boy, she was a lipstick boy she was a beautiful boy and tears boy and all in your inner space boy you had hands girl boy and steel boy you had chemicals boy, i've grown so close to you, boy and you just groan boy, she said, ""come over, come over"" she smiled at you boy   drive boy, dog boy, dirty, numb angel boy in the doorway boy, she was a lipstick boy she was a beautiful boy and tears boy and all in your inner space boy you had hands girl boy and steel boy you had chemicals boy, i've grown so close to you, boy and you just groan boy, she said, ""come over, come over"" she smiled at you boy   let your feelings slip, boy, but never your mask boy random blonde boy, high density random blonde boy, blonde country blonde high density you are my drug boy, you're real boy speak to me and boy, dog dirty numb cracking boy you get wet boy, big, big time boy, acid bear boy babes and babes and babes and babes and babes and remembering nothing boy, when you like my tin horn boy and get wet like an angel, derail you might also like you got a velvet mouth, you're so succulent and beautiful shimmering and dirty wonderful and hot times on your telephone line you got to neverland on your telephone and in walks an angel   and look at me, your mum squatting pissed in a tube hole at tottenham court road, i just come out of the ship talking to the most blonde i ever met shouting, ""lager, lager, lager, lager"" shouting, ""lager, lager, lager, lager"" shouting, ""lager, lager, lager, lager"" shouting, ""lager, lager, lager"" shouting ""mega, mega white thing, mega, mega white thing, mega, mega white thing, mega, mega"" shouting, ""lager, lager, lager, lager mega, mega white thing, mega, mega white thing"" so many things to see and do in the tube hole, true blonde going back to romford, mega, mega, mega going back to romford, hi mum, are you having fun? and now are you on your way to a new tension headache?embed",Born Slippy (Nuxx) , Radio Edit,"drive boy , dog boy , dirty , numb angel boy doorway boy , lipstick boy beautiful boy tear boy inner space boy hand girl boy steel boy chemical boy , 've grown close , boy groan boy , said , `` come , come '' smiled boy drive boy , dog boy , dirty , numb angel boy doorway boy , lipstick boy beautiful boy tear boy inner space boy hand girl boy steel boy chemical boy , 've grown close , boy groan boy , said , `` come , come '' smiled boy let feeling slip , boy , never mask boy random blonde boy , high density random blonde boy , blonde country blonde high density drug boy , 're real boy speak boy , dog dirty numb cracking boy get wet boy , big , big time boy , acid bear boy babe babe babe babe babe remembering nothing boy , like tin horn boy get wet like angel , derail might also like got velvet mouth , 're succulent beautiful shimmering dirty wonderful hot time telephone line got neverland telephone walk angel look , mum squatting pissed tube hole tottenham court road , come ship talking blonde ever met shouting , `` lager , lager , lager , lager '' shouting , `` lager , lager , lager , lager '' shouting , `` lager , lager , lager , lager '' shouting , `` lager , lager , lager '' shouting `` mega , mega white thing , mega , mega white thing , mega , mega white thing , mega , mega '' shouting , `` lager , lager , lager , lager mega , mega white thing , mega , mega white thing '' many thing see tube hole , true blonde going back romford , mega , mega , mega going back romford , hi mum , fun ? way new tension headache ? embed",Pop
Til I Hear It From You,Gin Blossoms,Til I Hear It From You,59," i didn't ask, they shouldn't have told me at first, i laughed, but now it's sinking in fast whatever they've sold me well, baby   i don't wanna take advice from fools i'll just figure everything is cool until i hear it from you (hear it from you)   it gets hard, the memory's faded who gets what they say? it's likely they're just jealous and jaded well, maybe   i don't wanna take advice from fools i'll just figure everything is cool until i hear it from you (hear it from you) until i hear it from you (hear it from you)   i can't let it get me off or break up my train of thought as far as i know, nothing's wrong until i hear it from you you might also like still thinking about not living without it outside looking in 'til we're talking about not stepping around it maybe   i don't wanna take advice from fools i'll just figure everything is cool until i hear it from you (hear it from you) until i hear it from you (hear it from you) until i hear it from you (hear it from you)   'til i hear it from you, oh, no 'til i hear it from you, oh, no 'til i hear it from you (won't take advice from fools) (i'll figure everything is cool) 'til i hear it from you (won't take advice from fools) (i'll figure everything is cool) 'til i hear it from youembed",Til I Hear It From You,,"n't ask , n't told first , laughed , 's sinking fast whatever 've sold well , baby n't wan na take advice fool 'll figure everything cool hear ( hear ) get hard , memory 's faded get say ? 's likely 're jealous jaded well , maybe n't wan na take advice fool 'll figure everything cool hear ( hear ) hear ( hear ) ca n't let get break train thought far know , nothing 's wrong hear might also like still thinking living without outside looking 'til 're talking stepping around maybe n't wan na take advice fool 'll figure everything cool hear ( hear ) hear ( hear ) hear ( hear ) 'til hear , oh , 'til hear , oh , 'til hear ( wo n't take advice fool ) ( 'll figure everything cool ) 'til hear ( wo n't take advice fool ) ( 'll figure everything cool ) 'til hear youembed",Rock
Virtual Insanity - Remastered,Jamiroquai,Travelling Without Moving (Remastered),59," oh yeah, aw what we're livin' in? let me tell ya   yeah, it's a wonder man can eat at all when things are big that should be small who can tell what magic spells we'll be doin' for us? and i'm givin' all my love to this world only to be told i can't see, i can't breathe no more will we be and nothin's going to change the way we live 'cause we can always take, but never give and now that things are changing for the worse, see woah, it's a crazy world we're livin' in and i just can't see that half of us immersed in sin is all we have to give these   futures made of virtual insanity now always seem to be governed by this love we have for useless twisting of our new technology oh, now there is no sound for we all live underground you might also like and i'm thinkin', what a mess we're in hard to know where to begin if i could slip the sickly ties that earthly man has made and now every mother can choose the colour of her child that's not nature's way well, that's what they said yesterday there's nothin' left to do but pray i think it's time to find a new religion whoa, it's so insane to synthesize another strain there's something in these futures that we have to be told   futures made of virtual insanity now always seem to be governed by this love we have for useless twisting of our new technology oh, now there is no sound for we all live underground, whoa!   now there is no sound if we all live underground and now it's virtual insanity forget your virtual reality oh, there's nothin' so bad as a man-made' man oh yeah, i know, yeah (take it to the dance floor)  i know i can't go on of this virtual insanity we're living in has got to change, yeah things will never be the same and i can't go on where we're living in oh, oh, virtual insanity oh, this world has got to change 'cause i just i just can't keep going on in this virtual, virtual insanity that we're living in, that we're living in and that virtual insanity is what is, yeah   oooooooh...   futures made of virtual insanity now always seem to be governed by this love we have for useless twisting of our new technology oh, now there is no sound for we all live underground  futures made of, now, virtual insanity now we all, we seem to be governed by a love for these useless twisting of our new technology and now there is no sound, for we all live underground yes, we do, oh  oh, now this life that we live in (virtual insanity) it's all goin' wrong out of window (living in), you know there is nothing worse than a man-made man (virtual insanity) there is nothing worse than (living in) a foolish man (virtual insanity) hey! virtual insanity is what we're livin' in, yeah well...it's alrightembed",Virtual Insanity , Remastered,"oh yeah , aw 're livin ' ? let tell ya yeah , 's wonder man eat thing big small tell magic spell 'll doin ' u ? 'm givin ' love world told ca n't see , ca n't breathe nothin 's going change way live 'cause always take , never give thing changing worse , see woah , 's crazy world 're livin ' ca n't see half u immersed sin give future made virtual insanity always seem governed love useless twisting new technology oh , sound live underground might also like 'm thinkin ' , mess 're hard know begin could slip sickly tie earthly man made every mother choose colour child 's nature 's way well , 's said yesterday 's nothin ' left pray think 's time find new religion whoa , 's insane synthesize another strain 's something future told future made virtual insanity always seem governed love useless twisting new technology oh , sound live underground , whoa ! sound live underground 's virtual insanity forget virtual reality oh , 's nothin ' bad man-made ' man oh yeah , know , yeah ( take dance floor ) know ca n't go virtual insanity 're living got change , yeah thing never ca n't go 're living oh , oh , virtual insanity oh , world got change 'cause ca n't keep going virtual , virtual insanity 're living , 're living virtual insanity , yeah oooooooh ... future made virtual insanity always seem governed love useless twisting new technology oh , sound live underground future made , , virtual insanity , seem governed love useless twisting new technology sound , live underground yes , , oh oh , life live ( virtual insanity ) 's goin ' wrong window ( living ) , know nothing worse man-made man ( virtual insanity ) nothing worse ( living ) foolish man ( virtual insanity ) hey ! virtual insanity 're livin ' , yeah well ... 's alrightembed",Pop
When You're Gone,The Cranberries,To The Faithful Departed,58," do-be-da, do-be-da do-be-da, do-be-da do-be-da, do-be-da do-be-da, do-be-da  do-be-da, do-be-da do-be-da, do-be-da do-be-da, do-be-da do-be-da, do-be-da   hold onto love that is what i do now that i've found you and from above everything's stinking they're not around you   and in the night i could be helpless i could be lonely sleeping without you and in the day everything's complex there's nothing simple when i'm not around you you might also like but i miss you when you're gone that is what i do hey, baby and it's going to carry on that is what i knew hey, baby  do-be-da, do-be-da do-be-da, do-be-da   hold onto my hands i feel i'm sinking sinking without you and to my mind everything's stinking stinking without you   and in the night i could be helpless i could be lonely sleeping without you and in the day everything's complex there's nothing simple when i'm not around you  and miss you when you're gone that is what i do hey, baby and it's going to carry on that is what i knew hey, baby   do-be-da, do-be-da do-be-da, do-be-da hey, babyembed",When You're Gone,,"do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da do-be-da , do-be-da hold onto love 've found everything 's stinking 're around night could helpless could lonely sleeping without day everything 's complex 's nothing simple 'm around might also like miss 're gone hey , baby 's going carry knew hey , baby do-be-da , do-be-da do-be-da , do-be-da hold onto hand feel 'm sinking sinking without mind everything 's stinking stinking without night could helpless could lonely sleeping without day everything 's complex 's nothing simple 'm around miss 're gone hey , baby 's going carry knew hey , baby do-be-da , do-be-da do-be-da , do-be-da hey , babyembed",Rock
Novocaine For The Soul,Eels,Beautiful Freak,58," life is hard and so am i you'd better give me something so i don't die   novocaine for the soul before i sputter out before i sputter out   life is white and i am black jesus and his lawyer are coming back   oh, my darling will you be here before i sputter out? before i sputter out? before i sputter out?   guess who's living here with the great undead? this paint by numbers life is fucking with my head, once again you might also like life is good and i feel great 'cause mother says i was a great mistake   novocaine for the soul you'd better give me something to fill the hole before i sputter out before i sputter out before i sputter out before i sputter outembed",Novocaine For The Soul,,"life hard 'd better give something n't die novocaine soul sputter sputter life white black jesus lawyer coming back oh , darling sputter ? sputter ? sputter ? guess 's living great undead ? paint number life fucking head , might also like life good feel great 'cause mother say great mistake novocaine soul 'd better give something fill hole sputter sputter sputter sputter outembed",Rock
